,Education,Family,Income,Personal Loan,Mortgage,Age,Securities Account,CreditCard
191,3,1,29,0,140,51,0,0
192,2,1,85,0,0,50,0,0
193,1,4,21,0,0,48,0,1
194,1,2,144,0,0,53,0,0
195,1,4,13,0,95,34,1,0
196,1,1,165,0,0,48,0,1
197,1,4,9,0,89,55,0,0
198,1,4,59,0,90,27,1,0
199,3,1,158,1,0,36,0,1
200,3,1,29,0,0,32,0,1
201,3,2,20,0,0,35,0,1
202,2,4,68,0,0,30,0,0
203,1,4,65,0,0,58,0,0
204,2,2,61,0,105,56,0,0
205,2,4,91,0,100,38,0,1
206,1,1,31,0,0,49,1,0
207,2,4,71,0,0,34,0,0
208,1,4,73,0,0,40,0,1
209,1,4,172,1,282,64,0,1
210,1,2,20,0,0,51,0,0
211,1,1,55,0,0,44,0,0
212,1,2,69,0,209,46,0,0
213,1,1,155,0,0,57,0,0
214,2,1,94,0,0,54,0,0
215,1,2,92,0,249,38,0,1
216,1,2,125,0,0,27,0,0
217,1,3,74,0,0,39,0,0
218,3,3,72,0,0,44,0,0
219,3,1,61,0,0,56,0,1
220,1,2,25,0,0,32,0,1
221,2,2,83,0,0,45,0,0
222,1,3,104,0,0,26,0,0
223,3,3,41,0,0,55,0,0
224,3,4,58,0,91,52,0,0
225,3,1,93,0,0,39,0,1
226,2,2,39,0,0,24,0,0
227,1,2,148,0,0,47,0,1
228,3,4,53,0,98,47,1,1
229,1,2,71,0,145,48,0,1
230,2,1,92,0,0,47,0,0
231,3,4,61,0,0,35,0,0
232,2,3,38,0,135,46,0,0
233,1,4,58,0,0,62,0,0
234,2,1,80,0,150,26,0,0
235,3,4,71,0,0,38,0,0
236,3,3,89,0,0,43,0,1
237,3,1,83,0,0,62,0,0
238,1,3,28,0,0,57,0,1
239,2,4,52,0,0,28,0,0
240,1,1,70,0,169,51,0,0
241,3,1,71,0,0,48,0,1
242,3,1,75,0,280,41,0,0
243,3,3,170,1,99,65,0,0
244,1,4,78,0,78,41,0,0
245,2,2,25,0,0,35,0,0
246,3,2,60,0,0,38,0,1
247,2,4,120,1,111,53,1,0
248,1,2,99,0,264,55,0,1
249,3,3,55,0,113,26,0,1
250,2,3,29,0,117,30,0,0
251,2,2,170,1,325,54,0,0
252,1,3,53,0,0,65,0,1
253,1,1,138,0,0,47,0,0
254,3,3,134,1,121,65,0,0
255,3,2,42,0,138,66,0,1
256,3,4,99,0,0,26,0,1
257,1,3,18,0,0,66,0,1
258,1,4,24,0,0,35,0,0
259,1,1,55,0,77,56,0,0
260,1,1,58,0,0,51,0,1
261,3,2,111,1,251,42,0,0
262,3,1,33,0,0,49,0,1
263,2,4,74,0,112,27,0,1
264,1,2,38,0,0,45,0,0
265,3,4,23,0,98,49,1,0
266,1,2,61,0,0,63,0,0
267,1,1,81,0,138,47,0,0
268,1,1,129,0,0,64,0,0
269,3,1,33,0,0,43,0,0
270,1,4,63,0,0,60,0,0
271,2,4,70,0,0,40,0,0
272,1,4,45,0,158,29,0,1
273,3,3,65,0,0,41,0,0
274,1,4,74,0,0,30,1,1
275,3,4,50,0,0,49,1,0
276,3,4,22,0,109,30,0,0
277,3,4,30,0,0,29,0,0
278,1,4,21,0,0,50,0,0
279,1,2,155,0,0,39,0,0
280,3,4,64,0,164,33,0,0
281,3,4,65,0,0,57,0,1
282,3,4,71,0,0,34,0,0
283,2,3,40,0,0,61,1,0
284,3,3,69,0,0,44,0,0
285,2,3,69,0,0,40,0,0
286,2,3,45,0,131,51,0,0
287,2,3,62,0,0,37,0,1
288,3,2,172,1,391,44,1,0
289,2,3,24,0,0,42,0,1
290,1,1,80,0,0,51,0,0
291,2,3,8,0,88,43,0,0
292,1,4,38,0,129,30,0,1
293,3,4,93,0,0,45,0,0
294,1,1,55,0,0,35,0,0
295,3,2,64,0,0,60,0,1
296,1,1,122,0,0,34,0,0
297,3,3,70,0,0,55,0,0
298,1,2,81,0,0,43,0,0
299,3,1,159,1,0,41,0,0
300,1,4,70,0,0,34,1,0
301,1,2,150,0,196,65,0,0
302,1,2,152,0,0,45,0,0
303,1,4,195,1,617,49,0,0
304,1,1,22,0,0,48,0,0
305,1,1,22,0,123,60,0,0
306,1,3,79,0,0,55,0,1
307,3,1,33,0,0,42,0,0
308,1,2,128,0,0,32,0,1
309,1,1,91,0,0,62,1,0
310,1,4,39,0,0,57,0,1
311,1,1,121,0,167,52,0,0
312,3,1,21,0,0,36,1,0
313,1,3,41,0,0,34,0,1
314,3,2,45,0,0,63,0,0
315,3,3,51,0,0,24,0,0
316,2,1,165,1,0,57,0,0
317,2,2,119,1,0,40,0,0
318,3,4,110,0,190,27,0,0
319,2,3,20,0,0,65,0,1
320,2,1,64,0,248,60,0,0
321,2,3,101,1,82,44,0,0
322,1,1,101,1,0,63,1,0
323,1,1,99,1,0,59,0,0
324,1,4,158,1,0,56,0,0
325,2,1,89,0,0,54,0,1
326,3,1,80,0,0,52,0,1
327,1,2,114,0,402,58,0,0
328,2,3,49,0,0,60,0,1
329,1,1,191,0,0,28,0,0
330,2,4,78,0,0,54,0,0
331,1,3,28,0,0,32,0,0
332,2,1,42,0,0,59,0,0
333,1,1,140,0,0,63,0,0
334,2,1,45,0,0,48,0,0
335,1,2,122,0,360,56,0,1
336,2,3,65,0,0,36,0,0
337,3,1,68,0,0,57,0,0
338,1,2,153,0,392,29,0,0
339,2,4,89,0,0,39,0,0
340,1,1,91,0,0,59,0,1
341,2,4,55,0,185,31,0,0
342,1,2,118,0,0,43,0,1
343,3,1,22,0,103,35,0,0
344,3,3,63,0,138,54,0,1
345,2,4,12,0,78,51,1,0
346,2,3,50,0,0,44,0,0
347,3,2,43,0,0,25,1,1
348,1,4,173,1,0,40,0,1
349,1,2,60,1,132,26,0,0
350,3,1,113,0,0,39,1,0
351,2,4,155,1,0,28,0,0
352,2,4,91,0,0,52,0,1
353,2,4,55,0,0,53,0,0
354,1,2,173,0,419,44,0,0
355,3,3,71,0,0,43,0,1
356,3,2,24,0,88,56,0,0
357,2,1,42,0,81,38,0,0
358,1,2,141,0,0,30,0,0
359,3,1,32,0,0,32,0,0
360,1,4,55,0,0,35,0,0
361,1,2,153,0,0,43,0,0
362,1,2,113,0,270,58,0,1
363,2,2,30,0,0,25,0,0
364,3,3,29,0,148,54,0,1
365,2,1,174,1,466,57,0,0
366,3,1,35,0,0,50,0,0
367,2,2,98,0,175,32,0,0
368,3,2,30,0,159,63,0,0
369,1,2,58,0,0,31,0,1
370,1,4,25,0,147,36,0,0
371,1,4,19,0,0,58,0,0
372,2,4,44,0,174,56,0,0
373,1,4,20,0,111,49,0,1
374,1,2,98,0,220,30,0,0
375,1,3,90,0,0,33,0,0
376,1,3,61,0,0,45,0,0
377,2,4,40,0,0,30,0,0
378,3,2,38,0,0,47,0,0
379,2,2,28,0,0,25,0,0
380,3,1,34,0,0,63,0,1
381,3,2,73,0,0,55,0,1
382,1,4,133,1,0,65,0,1
383,1,1,53,0,0,44,0,0
384,3,4,21,0,0,51,0,1
385,1,3,40,0,0,35,0,0
386,2,4,41,0,0,30,0,0
387,2,4,82,0,0,31,0,0
388,3,4,100,1,0,54,0,0
389,1,1,155,0,0,45,0,1
390,1,1,45,0,0,45,0,0
391,3,3,9,0,0,58,0,1
392,3,4,48,0,0,54,0,0
393,3,4,18,0,109,53,1,1
394,1,4,80,0,0,33,0,1
395,1,2,64,0,0,60,0,0
396,1,4,29,0,0,50,0,0
397,2,3,48,0,0,26,0,0
398,1,2,23,0,0,54,0,0
399,1,4,84,0,0,28,0,1
400,1,3,179,1,0,36,0,0
401,2,4,30,0,112,29,0,1
402,1,1,93,0,133,54,0,1
403,2,2,39,0,0,55,0,0
404,2,3,60,0,182,61,0,0
405,1,1,133,0,290,36,1,1
406,1,1,125,0,0,45,0,0
407,3,1,58,0,0,64,0,0
408,1,2,89,0,0,60,0,0
409,2,1,82,0,125,49,0,0
410,1,2,110,0,0,47,0,1
411,3,4,54,0,0,60,1,0
412,3,4,89,0,0,45,0,0
413,1,3,42,0,0,32,0,0
414,2,3,41,0,0,52,0,1
415,2,4,38,0,124,35,0,0
416,1,2,85,0,0,40,0,0
417,2,4,83,0,0,53,0,0
418,3,4,33,0,0,27,0,0
419,1,4,50,0,0,58,0,1
420,3,4,58,0,0,47,0,1
421,2,4,115,1,0,28,0,0
422,1,2,145,0,0,46,1,0
423,1,2,161,0,0,43,0,0
424,1,1,38,0,0,56,0,0
425,1,4,28,0,0,28,0,0
426,1,3,75,0,0,42,0,1
427,1,3,35,0,116,32,0,1
428,1,2,24,0,116,62,0,1
429,2,4,78,0,0,37,0,0
430,3,1,113,0,161,51,0,0
431,1,3,75,0,224,39,0,0
432,1,1,91,0,0,43,0,0
433,1,4,31,0,141,52,0,1
434,2,1,45,0,0,30,0,0
435,1,3,80,0,0,52,0,0
436,3,3,50,0,112,61,0,0
437,2,4,31,0,0,36,1,0
438,2,2,113,1,119,58,0,1
439,1,4,29,0,0,47,0,0
440,1,2,59,0,139,64,0,0
441,2,1,43,0,0,52,1,0
442,3,1,122,1,115,58,0,0
443,1,1,29,0,0,48,0,0
444,3,2,91,0,0,64,0,1
445,3,3,65,0,0,58,0,0
446,1,1,22,0,0,47,0,1
447,3,1,71,0,0,49,0,0
448,2,4,60,0,0,31,0,1
449,3,3,60,0,0,61,0,0
450,1,1,69,0,0,51,0,1
451,3,2,48,0,89,28,0,0
452,2,3,21,0,0,39,0,0
453,2,4,53,0,0,54,1,0
454,3,3,29,0,0,50,0,0
455,2,4,60,0,0,30,0,0
456,2,3,42,0,116,64,0,0
457,3,3,69,0,0,29,0,0
458,1,1,20,0,0,48,0,1
459,1,2,200,0,458,35,0,0
460,1,2,141,0,0,60,0,1
461,1,2,81,0,0,55,1,0
462,3,3,183,1,0,29,0,0
463,2,2,149,1,0,48,1,0
464,3,4,83,1,0,43,0,1
465,2,1,35,0,172,66,0,0
466,3,2,13,0,0,25,0,0
467,1,1,39,0,0,45,0,1
468,3,1,21,0,0,34,0,0
469,3,2,10,0,0,48,0,1
470,2,4,84,0,0,32,0,0
471,1,4,30,0,161,50,0,1
472,1,4,31,0,156,43,0,0
473,2,1,182,1,547,64,0,0
474,1,2,114,0,0,60,0,0
475,2,3,152,1,0,43,0,0
476,2,1,53,0,0,60,1,1
477,2,4,24,0,78,64,0,0
478,1,2,150,0,0,44,0,1
479,1,2,132,0,470,60,0,1
480,3,3,68,0,0,54,0,1
481,1,1,53,0,0,33,0,1
482,2,1,173,1,88,56,0,0
483,2,3,30,0,0,29,0,0
484,1,2,113,0,0,25,0,1
485,2,1,15,0,0,60,0,0
486,1,2,84,0,304,55,1,0
487,2,4,88,0,0,39,0,1
488,1,3,43,0,0,37,0,0
489,3,2,43,0,0,53,0,1
490,1,2,90,0,0,34,0,0
491,1,4,34,0,104,42,1,0
492,1,4,38,0,0,60,0,0
493,1,1,173,0,0,50,0,1
494,1,2,160,0,0,41,0,0
495,2,4,44,0,0,25,0,1
496,3,2,83,0,0,50,0,0
497,3,4,94,0,0,48,0,0
498,3,1,43,0,0,32,0,1
499,2,3,42,0,0,50,0,0
500,1,2,34,0,0,59,0,0
501,2,3,39,0,0,50,0,0
502,2,1,70,0,0,44,0,0
503,3,4,39,0,185,31,0,1
504,3,3,44,0,0,40,0,0
505,2,3,69,1,0,36,0,0
506,3,3,44,0,0,51,0,0
507,3,3,32,0,0,64,0,0
508,3,2,15,0,0,47,0,0
509,1,2,118,0,112,52,0,0
510,2,1,62,0,221,51,0,0
511,2,4,82,0,0,31,0,0
512,1,3,54,0,108,39,0,1
513,3,1,48,0,0,30,0,0
514,3,3,74,0,0,27,0,0
515,3,1,113,0,211,41,0,1
516,2,3,81,0,0,53,0,0
517,2,3,43,0,169,54,0,0
518,2,1,34,0,0,28,0,0
519,3,1,48,0,105,34,0,0
520,2,4,54,0,129,61,0,1
521,2,4,75,0,0,48,0,0
522,1,1,72,0,224,36,0,0
523,1,4,39,0,0,56,0,0
524,1,4,75,0,0,24,0,0
525,1,2,79,0,179,64,0,0
526,1,1,205,0,271,26,0,1
527,1,2,65,0,89,33,0,0
528,1,4,122,1,378,64,0,0
529,2,1,82,0,0,39,0,0
530,1,2,21,0,0,54,0,1
531,3,4,50,0,0,32,1,1
532,1,2,39,0,113,62,0,1
533,1,1,101,0,0,27,0,0
534,3,2,41,0,0,53,1,0
535,1,1,132,0,0,51,0,0
536,2,3,43,0,176,25,0,0
537,3,1,131,1,0,44,0,0
538,2,1,11,0,76,31,0,1
539,3,1,21,0,117,57,0,0
540,3,4,109,0,314,25,0,0
541,1,2,141,0,0,30,0,0
542,1,3,81,0,0,40,0,0
543,1,3,54,0,90,63,0,1
544,1,2,164,0,0,35,0,0
545,1,4,28,0,87,43,0,0
546,3,3,68,0,203,27,1,0
547,3,3,44,0,180,44,1,1
548,3,1,61,0,0,49,0,1
549,2,3,35,0,0,61,0,1
550,2,3,54,0,0,60,0,1
551,1,1,14,0,0,59,0,1
552,1,4,52,0,230,28,0,0
553,1,2,101,0,0,52,0,0
554,1,2,149,0,0,28,0,0
555,1,4,35,0,137,34,0,1
556,3,3,21,0,129,60,0,0
557,1,2,118,0,0,39,0,1
558,2,4,38,0,0,30,1,0
559,1,4,24,0,138,49,0,0
560,3,1,59,0,0,43,0,0
561,3,4,41,0,0,63,0,0
562,2,1,85,0,0,28,0,1
563,1,4,12,0,0,51,0,0
564,3,1,32,0,152,33,0,0
565,1,3,79,0,0,55,0,0
566,3,3,175,1,0,53,0,1
567,1,3,28,0,0,34,0,0
568,1,2,41,0,161,34,0,1
569,1,3,70,0,185,40,0,0
570,2,3,161,1,485,49,1,0
571,2,4,53,0,0,35,0,0
572,1,1,128,0,0,39,0,0
573,2,3,50,0,0,55,0,1
574,2,2,80,0,0,29,0,1
575,2,1,93,0,0,54,0,0
576,3,3,48,0,0,25,0,1
577,1,2,149,0,0,52,0,0
578,2,3,49,0,0,46,0,1
579,2,1,88,0,0,57,0,0
580,3,4,22,0,0,52,0,1
581,1,4,55,0,0,28,0,1
582,3,1,72,0,155,44,0,0
583,2,2,38,0,0,24,0,0
584,1,1,114,0,300,40,0,0
585,3,4,83,0,0,34,0,0
586,1,2,101,0,0,39,0,1
587,1,1,94,0,272,50,0,0
588,1,2,40,0,0,41,0,1
589,1,1,128,0,0,31,0,0
590,3,4,39,0,0,29,0,0
591,1,1,51,0,0,30,0,0
592,3,4,79,0,0,44,1,1
593,2,4,48,0,0,33,0,0
594,1,1,85,0,144,50,0,0
595,1,1,41,0,94,42,0,0
596,3,1,152,1,0,48,0,0
597,1,2,125,0,0,24,1,1
598,3,2,11,0,90,56,0,0
599,1,2,103,0,0,28,0,1
600,1,2,141,0,0,56,0,0
601,1,1,38,0,0,58,0,1
602,1,2,135,0,0,29,0,0
603,2,2,28,0,89,63,0,0
604,1,4,70,0,240,28,0,1
605,1,1,41,0,0,57,0,1
606,2,3,81,0,208,34,0,0
607,3,1,170,1,0,28,0,0
608,2,4,55,0,0,27,0,0
609,3,4,24,0,0,37,0,0
610,2,3,81,0,275,52,0,0
611,1,4,32,0,83,49,0,0
612,1,1,129,0,0,65,0,1
613,1,1,108,0,0,60,1,0
614,1,1,180,0,0,37,0,1
615,1,2,139,0,0,63,0,0
616,3,2,33,0,0,40,0,1
617,3,4,74,0,0,46,0,0
618,3,2,42,0,115,63,0,0
619,3,1,73,0,0,57,0,0
620,2,4,115,1,0,33,0,0
621,2,2,114,0,0,41,0,0
622,1,2,92,0,131,41,0,0
623,3,1,34,0,78,44,0,0
624,2,2,54,0,122,33,0,0
625,3,2,64,0,211,52,0,0
626,3,1,42,0,100,30,0,1
627,1,3,70,0,0,45,0,0
628,2,1,51,0,0,49,0,0
629,1,4,71,0,218,45,0,1
630,1,3,35,0,108,32,0,1
631,2,3,40,0,0,45,0,0
632,3,4,165,1,0,57,0,0
633,3,1,18,0,0,61,0,1
634,1,3,32,0,0,57,1,1
635,1,3,35,0,169,60,0,0
636,1,2,120,0,196,40,0,0
637,3,4,31,0,0,53,0,0
638,1,3,35,0,0,42,0,0
639,3,2,32,0,0,62,0,1
640,3,1,85,0,327,43,1,0
641,1,2,139,0,0,35,0,0
642,1,1,103,0,0,50,0,0
643,1,2,152,0,0,45,0,0
644,2,2,33,0,0,52,0,0
645,2,4,84,0,322,35,0,0
646,1,4,61,0,0,58,0,0
647,1,4,64,0,123,62,1,1
648,2,1,34,0,0,50,0,0
649,3,4,82,0,0,25,0,0
650,3,1,122,1,163,47,1,0
651,1,3,58,0,131,28,0,0
652,1,1,92,0,0,34,0,0
653,2,2,78,0,205,49,0,1
654,3,4,129,1,0,54,0,0
655,3,2,13,0,0,50,0,0
656,3,1,81,0,145,37,0,0
657,3,1,23,0,0,38,0,0
658,3,3,35,0,0,52,0,0
659,2,4,79,0,0,63,0,1
660,1,2,165,0,0,39,0,0
661,1,2,52,0,0,63,0,0
662,2,3,185,1,0,65,0,0
663,2,3,49,0,0,46,0,0
664,3,1,64,0,227,54,0,1
665,3,4,61,0,0,54,1,0
666,1,1,112,0,0,52,1,1
667,3,3,72,0,190,63,1,0
668,1,3,18,0,0,66,0,0
669,2,4,41,0,0,56,0,0
670,1,4,61,0,239,23,0,0
671,2,1,105,1,282,65,1,0
672,1,1,23,0,0,51,0,0
673,3,1,22,0,85,34,0,0
674,1,3,59,0,0,49,0,0
675,2,1,33,0,160,29,0,0
676,3,1,11,0,103,47,0,1
677,1,2,204,0,0,46,0,0
678,3,4,61,0,207,52,0,0
679,2,3,103,0,364,55,0,0
680,1,3,51,0,0,61,0,1
681,3,1,164,1,0,34,0,0
682,2,1,12,0,0,58,0,1
683,2,1,82,0,0,40,0,0
684,1,1,164,0,449,43,0,0
685,2,2,48,0,0,35,0,0
686,2,4,38,0,0,24,0,0
687,2,2,65,0,0,48,0,0
688,1,4,71,0,207,44,0,0
689,1,1,18,0,0,54,1,0
690,3,2,52,0,75,59,0,0
691,2,3,48,0,113,45,0,1
692,3,1,30,0,111,26,0,0
693,3,2,40,0,107,40,0,0
694,1,1,112,0,81,32,0,0
695,1,1,115,0,0,29,0,0
696,3,2,63,0,82,51,0,0
697,3,1,85,0,0,42,0,0
698,3,1,59,0,220,64,0,0
699,3,1,68,0,91,44,0,0
700,1,2,84,0,0,37,0,1
701,3,3,62,0,0,44,0,1
702,1,3,109,1,0,35,0,0
703,1,2,141,0,92,41,0,0
704,1,1,129,0,0,56,0,0
705,2,3,30,0,0,62,0,0
706,1,1,148,0,0,58,0,0
707,2,3,25,0,0,47,0,1
708,1,3,21,0,115,35,0,0
709,1,4,72,0,0,29,0,0
710,3,3,59,0,87,43,0,1
711,2,3,83,0,187,62,1,0
712,2,2,10,0,0,41,0,0
713,2,3,84,0,0,34,0,0
714,2,3,98,0,0,50,0,0
715,1,1,32,0,0,47,1,1
716,2,4,31,0,161,29,0,1
717,1,3,94,0,0,59,0,1
718,3,2,21,0,137,56,0,1
719,1,3,110,0,0,61,1,0
720,3,1,38,0,0,58,0,0
721,3,1,39,0,0,49,0,0
722,2,3,132,1,0,45,0,1
723,1,4,61,0,0,50,0,0
724,1,1,92,0,0,64,0,0
725,1,2,119,0,0,39,0,0
726,1,4,53,0,0,58,0,0
727,2,3,18,0,0,62,0,0
728,2,2,114,1,0,45,0,0
729,3,1,90,0,0,58,0,1
730,1,1,140,0,205,43,0,0
731,1,2,90,0,0,28,0,1
732,1,1,85,0,0,26,0,0
733,1,1,80,0,0,49,0,0
734,1,2,53,0,0,66,0,1
735,2,4,49,0,0,33,0,0
736,3,3,152,1,0,61,0,0
737,2,2,138,1,0,64,0,0
738,2,4,80,0,0,36,0,0
739,2,2,82,0,0,49,0,0
740,1,1,195,0,0,52,0,0
741,3,1,22,0,0,61,0,0
742,1,1,81,0,0,32,0,0
743,1,4,40,0,0,61,1,1
744,1,2,154,0,0,45,1,0
745,2,3,49,0,0,30,0,1
746,2,4,85,0,0,62,0,0
747,2,3,21,0,0,57,1,0
748,1,1,14,0,0,41,0,0
749,2,4,60,0,0,58,0,1
750,1,2,138,0,0,29,0,0
751,3,1,98,0,355,53,0,0
752,2,4,22,0,0,64,0,0
753,2,1,49,0,0,49,0,1
754,1,2,102,0,0,38,0,1
755,2,4,45,0,0,56,0,1
756,3,4,82,0,0,56,0,0
757,2,3,81,0,0,52,1,0
758,2,1,35,0,0,64,1,0
759,2,2,59,0,0,53,0,0
760,2,3,52,0,0,29,0,0
761,1,3,84,0,166,48,0,0
762,2,1,85,0,100,32,0,0
763,1,1,65,0,0,54,0,1
764,2,2,89,0,314,37,0,1
765,1,4,109,1,0,47,0,0
766,1,1,81,0,0,37,0,0
767,3,1,38,0,108,64,0,0
768,1,2,72,0,0,43,0,0
769,2,4,78,0,119,33,1,0
770,2,2,172,1,0,26,0,0
771,1,3,71,0,106,42,1,0
772,3,1,165,1,0,54,0,1
